V1,cellnames
1,RHC3552__Epithelial__.2749FE
1,RHC3553__Epithelial__.2749FE
1,RHC3563__Bcell__.7DEA7B
1,RHC3568__Epithelial__.2749FE
1,RHC3570__NA__grey
1,RHC3584__Epithelial__.2749FE
1,RHC3585__Epithelial__.2749FE
1,RHC3590__Epithelial__.2749FE
1,RHC3593__Epithelial__.2749FE
1,RHC3598__Epithelial__.2749FE
1,RHC3606__NA__grey
1,RHC3608__Epithelial__.2749FE
1,RHC3609__Epithelial__.2749FE
1,RHC3617__Epithelial__.2749FE
1,RHC3619__Epithelial__.2749FE
1,RHC3625__Epithelial__.2749FE
1,RHC3628__Epithelial__.2749FE
1,RHC3638__Epithelial__.2749FE
1,RHC3904__Epithelial__.2749FE
1,RHC3906__Tcell__.C6E879
1,RHC3920__Epithelial__.2749FE
1,RHC4014__Epithelial__.2749FE
1,RHC4155__Epithelial__.2749FE
1,RHC4075__Epithelial__.2749FE
1,RHC4763__Epithelial__.2749FE
1,RHC4767__Macrophage__.FFFF55
1,RHC4774__Epithelial__.2749FE
1,RHC4815__Epithelial__.2749FE
1,RHL2760__NA__grey
1,RHL2766__Epithelial__.2749FE
1,RHC5578__Epithelial__.2749FE
1,RHC5580__Epithelial__.2749FE
1,RHC5666__Bcell__.7DEA7B
1,RHC5704__Epithelial__.2749FE
1,RHC5710__Epithelial__.2749FE
1,RHC5764__Epithelial__.2749FE
1,RHC5765__Epithelial__.2749FE
1,RHC5808__Epithelial__.2749FE
1,RHC5816__Epithelial__.2749FE
1,RHC5831__Epithelial__.2749FE
1,RHC5834__Macrophage__.FFFF55
1,RHC5844__NA__grey
1,RHC5918__NA__grey
1,RHC6022__Tcell__.C6E879
2,RHC3582__Macrophage__.FFFF55
2,RHC3597__Epithelial__.2749FE
2,RHC3599__Epithelial__.2749FE
2,RHC3866__Macrophage__.FFFF55
2,RHC3886__Macrophage__.FFFF55
2,RHC3901__Epithelial__.2749FE
2,RHC3903__Epithelial__.2749FE
2,RHC3907__Macrophage__.FFFF55
2,RHC3909__Macrophage__.FFFF55
2,RHC3910__Epithelial__.2749FE
2,RHC3926__Epithelial__.2749FE
2,RHC3927__Macrophage__.FFFF55
2,RHC3947__Epithelial__.2749FE
2,RHC4045__MastCell__.E596C5
2,RHC4051__Macrophage__.FFFF55
2,RHC4067__Macrophage__.FFFF55
2,RHC4743__Epithelial__.2749FE
2,RHC4751__Macrophage__.FFFF55
2,RHC4758__Macrophage__.FFFF55
2,RHC4787__Macrophage__.FFFF55
2,RHC4810__Macrophage__.FFFF55
2,RHL2762__Macrophage__.FFFF55
2,RHC5614__Tcell__.C6E879
2,RHC5811__Macrophage__.FFFF55
2,RHC5999__Macrophage__.FFFF55
2,RHC6033__Macrophage__.FFFF55
2,RHC6041__Macrophage__.FFFF55
3,RHC3835__Fibroblast__.FB4E09
3,RHC3836__Epithelial__.2749FE
3,RHC3837__Epithelial__.2749FE
3,RHC3838__Epithelial__.2749FE
3,RHC3839__Epithelial__.2749FE
3,RHC3840__Epithelial__.2749FE
3,RHC3843__Fibroblast__.FB4E09
3,RHC3844__Epithelial__.2749FE
3,RHC3846__Epithelial__.2749FE
3,RHC3847__Fibroblast__.FB4E09
3,RHC3848__Epithelial__.2749FE
3,RHC3849__Epithelial__.2749FE
3,RHC3850__Epithelial__.2749FE
3,RHC3851__Fibroblast__.FB4E09
3,RHC3852__Epithelial__.2749FE
3,RHC3854__Endothelial__.908DE5
3,RHC3856__Epithelial__.2749FE
3,RHC3862__Epithelial__.2749FE
3,RHC3863__Epithelial__.2749FE
3,RHC3864__Epithelial__.2749FE
3,RHC3865__Epithelial__.2749FE
3,RHC3868__Epithelial__.2749FE
3,RHC3869__Epithelial__.2749FE
3,RHC3870__Epithelial__.2749FE
3,RHC3871__Epithelial__.2749FE
3,RHC3872__Epithelial__.2749FE
3,RHC3874__Epithelial__.2749FE
3,RHC3875__Epithelial__.2749FE
3,RHC3876__Epithelial__.2749FE
3,RHC3878__Epithelial__.2749FE
3,RHC3879__Epithelial__.2749FE
3,RHC3881__Epithelial__.2749FE
3,RHC3882__Epithelial__.2749FE
3,RHC3883__Epithelial__.2749FE
3,RHC3884__Epithelial__.2749FE
3,RHC3885__Fibroblast__.FB4E09
3,RHC3890__Fibroblast__.FB4E09
3,RHC3891__Epithelial__.2749FE
3,RHC3894__Endothelial__.908DE5
3,RHC3895__Fibroblast__.FB4E09
3,RHC3897__Epithelial__.2749FE
3,RHC3898__Epithelial__.2749FE
3,RHC3900__Epithelial__.2749FE
3,RHC3902__Epithelial__.2749FE
3,RHC3915__Epithelial__.2749FE
3,RHC3919__Epithelial__.2749FE
3,RHC3922__Epithelial__.2749FE
3,RHC3923__Epithelial__.2749FE
3,RHC3925__Epithelial__.2749FE
3,RHC4128__Fibroblast__.FB4E09
3,RHC4165__Fibroblast__.FB4E09
3,RHC4169__Fibroblast__.FB4E09
3,RHC4079__Fibroblast__.FB4E09
3,RHC4769__Fibroblast__.FB4E09
3,RHC4775__Fibroblast__.FB4E09
3,RHC4797__Fibroblast__.FB4E09
3,RHC5714__Epithelial__.2749FE
3,RHC5716__Epithelial__.2749FE
3,RHC5899__Fibroblast__.FB4E09
3,RHC5991__Fibroblast__.FB4E09
3,RHC6030__Fibroblast__.FB4E09
4,RHC3905__Epithelial__.2749FE
4,RHC3912__Bcell__.7DEA7B
4,RHC4122__Epithelial__.2749FE
4,RHC4130__Epithelial__.2749FE
4,RHC4144__Epithelial__.2749FE
4,RHC4148__Epithelial__.2749FE
4,RHC4174__Epithelial__.2749FE
4,RHC4872__Epithelial__.2749FE
4,RHC4887__Epithelial__.2749FE
4,RHC4915__Epithelial__.2749FE
4,RHC4757__Epithelial__.2749FE
4,RHC4760__Epithelial__.2749FE
4,RHC4811__Epithelial__.2749FE
4,RHL2672__Epithelial__.2749FE
4,RHL2679__Epithelial__.2749FE
4,RHL2701__Epithelial__.2749FE
4,RHL2716__Epithelial__.2749FE
4,RHL2717__Epithelial__.2749FE
4,RHL2718__Epithelial__.2749FE
4,RHL2724__Epithelial__.2749FE
4,RHL2733__Epithelial__.2749FE
4,RHL2747__Epithelial__.2749FE
4,RHL2749__Epithelial__.2749FE
4,RHL2753__Epithelial__.2749FE
4,RHL2755__NA__grey
4,RHL2758__Epithelial__.2749FE
4,RHL2759__Epithelial__.2749FE
4,RHL2763__NA__grey
4,RHL2765__Epithelial__.2749FE
4,RHL2769__Epithelial__.2749FE
4,RHL2779__Epithelial__.2749FE
4,RHL2780__Epithelial__.2749FE
4,RHL2788__Epithelial__.2749FE
4,RHL2791__Epithelial__.2749FE
4,RHC5553__Epithelial__.2749FE
4,RHC5555__Epithelial__.2749FE
4,RHC5570__Epithelial__.2749FE
4,RHC5575__Epithelial__.2749FE
4,RHC5577__Epithelial__.2749FE
4,RHC5585__Epithelial__.2749FE
4,RHC5586__Epithelial__.2749FE
4,RHC5592__Epithelial__.2749FE
4,RHC5599__Epithelial__.2749FE
4,RHC5607__Epithelial__.2749FE
4,RHC5622__Epithelial__.2749FE
4,RHC5629__Epithelial__.2749FE
4,RHC5632__Epithelial__.2749FE
4,RHC5633__Epithelial__.2749FE
4,RHC5647__Epithelial__.2749FE
4,RHC5658__Epithelial__.2749FE
4,RHC5665__Epithelial__.2749FE
4,RHC5761__NA__grey
4,RHC5768__Epithelial__.2749FE
4,RHC5783__Epithelial__.2749FE
4,RHC5785__NA__grey
4,RHC5801__Tcell__.C6E879
4,RHC5814__Tcell__.C6E879
4,RHC5815__Epithelial__.2749FE
4,RHC5879__Epithelial__.2749FE
4,RHC5906__Epithelial__.2749FE
4,RHC5908__Epithelial__.2749FE
4,RHC5914__NA__grey
5,RHC3556__Epithelial__.2749FE
5,RHC3565__Epithelial__.2749FE
5,RHC3567__Epithelial__.2749FE
5,RHC3569__Epithelial__.2749FE
5,RHC3577__Epithelial__.2749FE
5,RHC3579__Epithelial__.2749FE
5,RHC3581__Epithelial__.2749FE
5,RHC3589__Epithelial__.2749FE
5,RHC3596__Bcell__.7DEA7B
5,RHC3621__Epithelial__.2749FE
5,RHC3629__Epithelial__.2749FE
5,RHC3635__Epithelial__.2749FE
5,RHC3640__Epithelial__.2749FE
5,RHC3641__Epithelial__.2749FE
5,RHC3845__Epithelial__.2749FE
5,RHC3855__Epithelial__.2749FE
5,RHC3914__Epithelial__.2749FE
5,RHC3924__Epithelial__.2749FE
5,RHC4021__Epithelial__.2749FE
5,RHC4124__Epithelial__.2749FE
5,RHC4131__Epithelial__.2749FE
5,RHC4866__Endothelial__.908DE5
5,RHC4880__Epithelial__.2749FE
5,RHC4881__Epithelial__.2749FE
5,RHC4910__Epithelial__.2749FE
5,RHC4911__Epithelial__.2749FE
5,RHC4921__Epithelial__.2749FE
5,RHC4746__Epithelial__.2749FE
5,RHC4761__Epithelial__.2749FE
5,RHC4768__Epithelial__.2749FE
5,RHC4772__Epithelial__.2749FE
5,RHC4780__Epithelial__.2749FE
5,RHC4781__Epithelial__.2749FE
5,RHC4784__Epithelial__.2749FE
5,RHC4788__Epithelial__.2749FE
5,RHC4789__Epithelial__.2749FE
5,RHC4801__Epithelial__.2749FE
5,RHC4807__Epithelial__.2749FE
5,RHC4813__Epithelial__.2749FE
5,RHL2723__Epithelial__.2749FE
5,RHL2767__Epithelial__.2749FE
5,RHL2768__Epithelial__.2749FE
5,RHL2770__Epithelial__.2749FE
5,RHL2773__Epithelial__.2749FE
5,RHL2781__Epithelial__.2749FE
5,RHC5544__Epithelial__.2749FE
5,RHC5549__Epithelial__.2749FE
5,RHC5557__Epithelial__.2749FE
5,RHC5558__Epithelial__.2749FE
5,RHC5560__Epithelial__.2749FE
5,RHC5561__Epithelial__.2749FE
5,RHC5563__Epithelial__.2749FE
5,RHC5568__Epithelial__.2749FE
5,RHC5571__Tcell__.C6E879
5,RHC5594__Epithelial__.2749FE
5,RHC5598__Epithelial__.2749FE
5,RHC5604__Epithelial__.2749FE
5,RHC5608__Epithelial__.2749FE
5,RHC5610__Epithelial__.2749FE
5,RHC5613__Epithelial__.2749FE
5,RHC5615__Epithelial__.2749FE
5,RHC5616__Epithelial__.2749FE
5,RHC5617__Epithelial__.2749FE
5,RHC5624__Epithelial__.2749FE
5,RHC5626__Epithelial__.2749FE
5,RHC5628__Epithelial__.2749FE
5,RHC5637__Epithelial__.2749FE
5,RHC5643__Epithelial__.2749FE
5,RHC5701__Epithelial__.2749FE
5,RHC5707__Epithelial__.2749FE
5,RHC5711__Bcell__.7DEA7B
5,RHC5892__Endothelial__.908DE5
5,RHC5896__Epithelial__.2749FE
6,RHC3546__Tcell__.C6E879
6,RHC3555__Bcell__.7DEA7B
6,RHC3557__Bcell__.7DEA7B
6,RHC3562__Bcell__.7DEA7B
6,RHC3594__Bcell__.7DEA7B
6,RHC3600__Bcell__.7DEA7B
6,RHC3602__Bcell__.7DEA7B
6,RHC3633__Bcell__.7DEA7B
6,RHC4053__Tcell__.C6E879
6,RHC4080__Bcell__.7DEA7B
6,RHC4083__Bcell__.7DEA7B
6,RHC4886__Tcell__.C6E879
6,RHC4897__Bcell__.7DEA7B
6,RHC4745__Tcell__.C6E879
6,RHC4747__Tcell__.C6E879
6,RHC4755__Tcell__.C6E879
6,RHC4771__Tcell__.C6E879
6,RHC4776__Tcell__.C6E879
6,RHC4800__Tcell__.C6E879
6,RHC4804__Tcell__.C6E879
6,RHL2704__Tcell__.C6E879
6,RHL2752__Tcell__.C6E879
6,RHL2786__Bcell__.7DEA7B
6,RHC5576__Tcell__.C6E879
6,RHC5620__Tcell__.C6E879
6,RHC5646__Tcell__.C6E879
6,RHC5699__Tcell__.C6E879
6,RHC5702__Tcell__.C6E879
6,RHC5810__Tcell__.C6E879
6,RHC5827__Tcell__.C6E879
6,RHC5910__Tcell__.C6E879
6,RHC5930__Tcell__.C6E879
6,RHC5967__Tcell__.C6E879
6,RHC5982__Tcell__.C6E879
6,RHC5995__Tcell__.C6E879
6,RHC6004__Tcell__.C6E879
6,RHC6010__Tcell__.C6E879
6,RHC6039__Tcell__.C6E879
7,RHC3591__Epithelial__.2749FE
7,RHC3911__Epithelial__.2749FE
7,RHC4123__Epithelial__.2749FE
7,RHC4134__Epithelial__.2749FE
7,RHC4141__Epithelial__.2749FE
7,RHC4142__Epithelial__.2749FE
7,RHC4159__Epithelial__.2749FE
7,RHC4161__Epithelial__.2749FE
7,RHC4196__Epithelial__.2749FE
7,RHC4031__Epithelial__.2749FE
7,RHC4050__Epithelial__.2749FE
7,RHC4065__Epithelial__.2749FE
7,RHC4068__Epithelial__.2749FE
7,RHC4073__Epithelial__.2749FE
7,RHC4859__Epithelial__.2749FE
7,RHC4861__Epithelial__.2749FE
7,RHC4862__Epithelial__.2749FE
7,RHC4864__Bcell__.7DEA7B
7,RHC4871__Epithelial__.2749FE
7,RHC4874__Epithelial__.2749FE
7,RHC4877__Epithelial__.2749FE
7,RHC4878__Epithelial__.2749FE
7,RHC4879__Epithelial__.2749FE
7,RHC4890__Epithelial__.2749FE
7,RHC4900__Epithelial__.2749FE
7,RHC4902__Epithelial__.2749FE
7,RHC4916__Epithelial__.2749FE
7,RHC4922__Epithelial__.2749FE
7,RHC4924__Epithelial__.2749FE
7,RHC4925__Epithelial__.2749FE
7,RHC4926__Epithelial__.2749FE
7,RHC4931__Epithelial__.2749FE
7,RHC4935__Epithelial__.2749FE
7,RHC4937__Epithelial__.2749FE
7,RHC4938__Epithelial__.2749FE
7,RHC4940__Epithelial__.2749FE
7,RHC4944__Epithelial__.2749FE
7,RHC4945__Epithelial__.2749FE
7,RHC4947__Epithelial__.2749FE
7,RHL2738__Epithelial__.2749FE
7,RHL2789__Epithelial__.2749FE
7,RHC5546__Epithelial__.2749FE
7,RHC5547__Epithelial__.2749FE
7,RHC5550__Epithelial__.2749FE
7,RHC5551__NA__grey
7,RHC5552__Epithelial__.2749FE
7,RHC5554__Epithelial__.2749FE
7,RHC5562__Epithelial__.2749FE
7,RHC5564__Epithelial__.2749FE
7,RHC5565__Epithelial__.2749FE
7,RHC5566__Epithelial__.2749FE
7,RHC5567__Epithelial__.2749FE
7,RHC5569__Epithelial__.2749FE
7,RHC5574__Epithelial__.2749FE
7,RHC5582__Epithelial__.2749FE
7,RHC5597__Epithelial__.2749FE
7,RHC5600__Epithelial__.2749FE
7,RHC5601__Epithelial__.2749FE
7,RHC5602__Epithelial__.2749FE
7,RHC5605__Epithelial__.2749FE
7,RHC5606__Epithelial__.2749FE
7,RHC5611__Epithelial__.2749FE
7,RHC5612__Epithelial__.2749FE
7,RHC5623__Epithelial__.2749FE
7,RHC5627__Epithelial__.2749FE
7,RHC5644__Epithelial__.2749FE
7,RHC5698__Epithelial__.2749FE
7,RHC5718__Tcell__.C6E879
7,RHC5790__Epithelial__.2749FE
7,RHC5840__Epithelial__.2749FE
